,Unnamed: 0,roiName,roiLongName,group,groupLong
0,0,FP_r,Frontal_Pole_Right,FPN_R,Fronto_Parietal_Network_right_hemisphere
1,1,FP_l,Frontal_Pole_Left,FPN_Lang_L,Fronto_Parietal_and_Language_Network_left_hemisphere
2,2,IC_r,Insular_Cortex_Right,Auditory,Auditory_areas
3,3,IC_l,Insular_Cortex_Left,Auditory,Auditory_areas
4,4,SFG_r,Superior_Frontal_Gyrus_Right,FPN_R,Fronto_Parietal_Network_right_hemisphere
5,5,SFG_l,Superior_Frontal_Gyrus_Left,FPN_Lang_L,Fronto_Parietal_and_Language_Network_left_hemisphere
6,6,MidFG_r,Middle_Frontal_Gyrus_Right,FPN_R,Fronto_Parietal_Network_right_hemisphere
7,7,MidFG_l,Middle_Frontal_Gyrus_Left,FPN_Lang_L,Fronto_Parietal_and_Language_Network_left_hemisphere
8,8,IFG_tri_r,Inferior_Frontal_Gyrus_pars_triangularis_Right,ITG,Inferior_Temporal_Gyrus
9,9,IFG_tri_l,Inferior_Frontal_Gyrus_pars_triangularis_Left,FPN_Lang_L,Fronto_Parietal_and_Language_Network_left_hemisphere
10,10,IFG_oper_r,Inferior_Frontal_Gyrus_pars_opercularis_Right,Lang_R,Language_Network_right_Hemisphere
11,11,IFG_oper_l,Inferior_Frontal_Gyrus_pars_opercularis_Left,FPN_Lang_L,Fronto_Parietal_and_Language_Network_left_hemisphere
12,12,PreCG_r,Precentral_Gyrus_Right,Motor,Motor_areas
13,13,PreCG_l,Precentral_Gyrus_Left,Motor,Motor_areas
14,14,TP_r,Temporal_Pole_Right,STG,Superior_Temporal_Gyrus
15,15,TP_l,Temporal_Pole_Left,STG,Superior_Temporal_Gyrus
16,16,aSTG_r,Superior_Temporal_Gyrus_anterior_division_Right,STG,Superior_Temporal_Gyrus
17,17,aSTG_l,Superior_Temporal_Gyrus_anterior_division_Left,STG,Superior_Temporal_Gyrus
18,18,pSTG_r,Superior_Temporal_Gyrus_posterior_division_Right,STG,Superior_Temporal_Gyrus
19,19,pSTG_l,Superior_Temporal_Gyrus_posterior_division_Left,STG,Superior_Temporal_Gyrus
20,20,aMTG_r,Middle_Temporal_Gyrus_anterior_division_Right,aDMN,anterior_Default_Mode_Network
21,21,aMTG_l,Middle_Temporal_Gyrus_anterior_division_Left,aDMN,anterior_Default_Mode_Network
22,22,pMTG_r,Middle_Temporal_Gyrus_posterior_division_Right,lDMN,lateral_Default_Mode_Network_areas
